framename,precision_Gesture,recall_Gesture,f1_Gesture,precision_NoGesture,recall_NoGesture,f1_NoGesture,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy
000,0.2878787878787879,0.6666666666666666,0.4021164021164021,0.8967391304347826,0.637065637065637,0.744920993227991,0.5923089591567853,0.6518661518661518,0.5735186976721965,0.7869130559863912,0.6424050632911392,0.683085987869255,0.6424050632911392
001,0.0,0.0,0.0,1.0,0.2202797202797203,0.36103151862464183,0.5,0.11013986013986014,0.18051575931232092,1.0,0.2202797202797203,0.36103151862464183,0.2202797202797203
002,0.0,0.0,0.0,1.0,0.5498281786941581,0.7095343680709535,0.5,0.27491408934707906,0.35476718403547675,1.0,0.5498281786941581,0.7095343680709535,0.5498281786941581
003,0.0,0.0,0.0,1.0,0.6392405063291139,0.7799227799227799,0.5,0.31962025316455694,0.38996138996138996,1.0,0.6392405063291139,0.7799227799227799,0.6392405063291139
004,0.0,0.0,0.0,1.0,0.5551470588235294,0.7139479905437353,0.5,0.2775735294117647,0.35697399527186763,1.0,0.5551470588235294,0.7139479905437353,0.5551470588235294
005,0.0,0.0,0.0,1.0,0.4620253164556962,0.6320346320346321,0.5,0.2310126582278481,0.31601731601731603,1.0,0.4620253164556962,0.6320346320346321,0.4620253164556962
006,0.0,0.0,0.0,1.0,0.810126582278481,0.8951048951048951,0.5,0.4050632911392405,0.44755244755244755,1.0,0.810126582278481,0.895104895104895,0.810126582278481
007,0.0,0.0,0.0,1.0,0.7911392405063291,0.8833922261484098,0.5,0.39556962025316456,0.4416961130742049,1.0,0.7911392405063291,0.8833922261484098,0.7911392405063291
008,0.0,0.0,0.0,1.0,0.1942675159235669,0.3253333333333333,0.5,0.09713375796178345,0.16266666666666665,1.0,0.1942675159235669,0.3253333333333333,0.1942675159235669
009,0.0,0.0,0.0,1.0,0.48,0.6486486486486487,0.5,0.24,0.32432432432432434,1.0,0.48,0.6486486486486487,0.48
010,0.0,0.0,0.0,1.0,0.7974683544303798,0.8873239436619719,0.5,0.3987341772151899,0.44366197183098594,1.0,0.7974683544303798,0.8873239436619719,0.7974683544303798
011,0.0,0.0,0.0,1.0,0.864963503649635,0.9275929549902152,0.5,0.4324817518248175,0.4637964774951076,1.0,0.864963503649635,0.9275929549902152,0.864963503649635
012,0.0,0.0,0.0,1.0,0.7215189873417721,0.8382352941176471,0.5,0.36075949367088606,0.41911764705882354,1.0,0.7215189873417721,0.8382352941176471,0.7215189873417721
013,0.0,0.0,0.0,1.0,0.8607594936708861,0.9251700680272109,0.5,0.43037974683544306,0.46258503401360546,1.0,0.8607594936708861,0.925170068027211,0.8607594936708861
014,0.0,0.0,0.0,1.0,0.6329113924050633,0.7751937984496124,0.5,0.31645569620253167,0.3875968992248062,1.0,0.6329113924050633,0.7751937984496124,0.6329113924050633
015,0.0,0.0,0.0,1.0,0.6645569620253164,0.7984790874524715,0.5,0.3322784810126582,0.39923954372623577,1.0,0.6645569620253164,0.7984790874524715,0.6645569620253164
016,0.0,0.0,0.0,1.0,0.5316455696202531,0.6942148760330579,0.5,0.26582278481012656,0.34710743801652894,1.0,0.5316455696202531,0.6942148760330579,0.5316455696202531
017,0.0,0.0,0.0,1.0,0.8259493670886076,0.9046793760831889,0.5,0.4129746835443038,0.45233968804159447,1.0,0.8259493670886076,0.904679376083189,0.8259493670886076
018,0.8721804511278195,0.4773662551440329,0.6170212765957447,0.30601092896174864,0.7671232876712328,0.4375,0.5890956900447841,0.6222447714076329,0.5272606382978724,0.7413881248046449,0.5443037974683544,0.5755495892809049,0.5443037974683544
019,0.0,0.0,0.0,1.0,0.7133105802047781,0.8326693227091634,0.5,0.35665529010238906,0.4163346613545817,1.0,0.7133105802047781,0.8326693227091634,0.7133105802047781
020,0.8837209302325582,0.7203791469194313,0.793733681462141,0.5902777777777778,0.8095238095238095,0.6827309236947792,0.736999354005168,0.7649514782216205,0.7382323025784601,0.7862160852713179,0.75,0.756849853722986,0.75
021,0.0045045045045045045,1.0,0.008968609865470852,1.0,0.2984126984126984,0.45965770171149145,0.5022522522522522,0.6492063492063492,0.23431315578848116,0.9968496977990648,0.30063291139240506,0.4582314704081812,0.30063291139240506
022,0.0,0.0,0.0,1.0,0.8860759493670886,0.9395973154362416,0.5,0.4430379746835443,0.4697986577181208,1.0,0.8860759493670886,0.9395973154362416,0.8860759493670886
023,0.8155339805825242,0.4540540540540541,0.5833333333333334,0.5258215962441315,0.8549618320610687,0.6511627906976745,0.6706777884133279,0.6545079430575613,0.6172480620155039,0.6954316946700893,0.620253164556962,0.6114525071141204,0.620253164556962
024,0.5111111111111111,0.4423076923076923,0.4742268041237113,0.8862745098039215,0.9112903225806451,0.8986083499005965,0.6986928104575163,0.6767990074441688,0.6864175770121539,0.8212461873638344,0.83,0.8250488819659364,0.83
025,0.8070175438596491,0.7540983606557377,0.7796610169491526,0.9152542372881356,0.9364161849710982,0.9257142857142857,0.8611358905738924,0.845257272813418,0.8526876513317192,0.8870386890012224,0.8888888888888888,0.8876405703524347,0.8888888888888888
026,0.0,0.0,0.0,1.0,0.819620253164557,0.9008695652173913,0.5,0.4098101265822785,0.4504347826086956,1.0,0.819620253164557,0.9008695652173913,0.819620253164557
027,0.0,0.0,0.0,1.0,0.8765822784810127,0.9342327150084317,0.5,0.43829113924050633,0.4671163575042159,1.0,0.8765822784810127,0.9342327150084317,0.8765822784810127
028,0.0,0.0,0.0,1.0,0.9272151898734177,0.9622331691297209,0.5,0.46360759493670883,0.48111658456486045,1.0,0.9272151898734177,0.9622331691297209,0.9272151898734177
029,0.7583892617449665,0.5022222222222222,0.6042780748663101,0.32934131736526945,0.6043956043956044,0.4263565891472868,0.5438652895551179,0.5533089133089133,0.5153173320067985,0.6348343157368891,0.5316455696202531,0.553041191320642,0.5316455696202531
030,0.532608695652174,0.6758620689655173,0.5957446808510638,0.6439393939393939,0.49707602339181284,0.5610561056105611,0.5882740447957839,0.586469046178665,0.5784003932308124,0.5928541051683593,0.5791139240506329,0.5769733315911715,0.5791139240506329
031,0.19913419913419914,1.0,0.33212996389891697,1.0,0.3148148148148148,0.4788732394366197,0.5995670995670995,0.6574074074074074,0.40550160166776833,0.8834182694942189,0.41455696202531644,0.4575118765418908,0.41455696202531644
032,0.3300970873786408,0.2956521739130435,0.3119266055045872,0.6105769230769231,0.6479591836734694,0.6287128712871287,0.470337005227782,0.4718056787932564,0.47031973839585794,0.5068625143782013,0.5176848874598071,0.5115732553225234,0.5176848874598071
033,0.0,0.0,0.0,1.0,0.5159235668789809,0.680672268907563,0.5,0.25796178343949044,0.3403361344537815,1.0,0.5159235668789809,0.680672268907563,0.5159235668789809
034,0.0,0.0,0.0,1.0,0.7120253164556962,0.8317929759704251,0.5,0.3560126582278481,0.41589648798521256,1.0,0.7120253164556962,0.831792975970425,0.7120253164556962
035,0.0,0.0,0.0,1.0,0.5949367088607594,0.746031746031746,0.5,0.2974683544303797,0.373015873015873,1.0,0.5949367088607594,0.746031746031746,0.5949367088607594
036,0.0,0.0,0.0,1.0,0.25316455696202533,0.40404040404040403,0.5,0.12658227848101267,0.20202020202020202,1.0,0.25316455696202533,0.40404040404040403,0.25316455696202533
037,0.0,0.0,0.0,1.0,0.8227848101265823,0.9027777777777778,0.5,0.41139240506329117,0.4513888888888889,1.0,0.8227848101265823,0.9027777777777778,0.8227848101265823
038,0.0,0.0,0.0,1.0,0.6582278481012658,0.7938931297709924,0.5,0.3291139240506329,0.3969465648854962,1.0,0.6582278481012658,0.7938931297709924,0.6582278481012658
039,0.0,0.0,0.0,1.0,0.3860759493670886,0.5570776255707762,0.5,0.1930379746835443,0.2785388127853881,1.0,0.3860759493670886,0.5570776255707762,0.3860759493670886
040,0.0,0.0,0.0,1.0,0.3860759493670886,0.5570776255707762,0.5,0.1930379746835443,0.2785388127853881,1.0,0.3860759493670886,0.5570776255707762,0.3860759493670886
041,0.0,0.0,0.0,1.0,0.6858108108108109,0.8136272545090181,0.5,0.34290540540540543,0.40681362725450904,1.0,0.6858108108108109,0.8136272545090181,0.6858108108108109
042,0.5803571428571429,0.680628272251309,0.6265060240963856,0.33695652173913043,0.248,0.2857142857142857,0.4586568322981367,0.4643141361256545,0.45611015490533563,0.4840752515921063,0.509493670886076,0.4916991655591625,0.509493670886076
043,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.8085106382978723,0.7251908396946565,0.7645875251509054,0.45981087470449167,0.44592875318066155,0.4489604292421194,0.6893347697279827,0.629746835443038,0.6567149733846115,0.629746835443038
044,0.7129629629629629,0.44508670520231214,0.5480427046263345,0.5294117647058824,0.7769784172661871,0.6297376093294461,0.6211873638344226,0.6110325612342496,0.5888901569778904,0.6311885509189431,0.592948717948718,0.5844388320421439,0.592948717948718
045,0.2894736842105263,0.1864406779661017,0.2268041237113402,0.8273381294964028,0.8949416342412452,0.8598130841121495,0.5584059068534646,0.5406911561036735,0.5433086039117448,0.7269140716740398,0.7626582278481012,0.741624702265163,0.7626582278481012
046,0.6993006993006993,0.4484304932735426,0.546448087431694,0.28901734104046245,0.5376344086021505,0.37593984962406013,0.4941590201705809,0.49303245093784653,0.4611939685278771,0.5785527489266422,0.47468354430379744,0.49626686554527016,0.47468354430379744
047,0.42346938775510207,0.6384615384615384,0.50920245398773,0.6083333333333333,0.3924731182795699,0.477124183006536,0.5159013605442176,0.5154673283705542,0.493163318497133,0.5322817101524154,0.4936708860759494,0.4903209400557613,0.4936708860759494
AVERAGE,0.18372607377926,0.19904839572228894,0.1686141078490344,0.8771625738230243,0.6394565694622784,0.7050967307138256,0.5304443238011421,0.41925248259228365,0.43685541928143,0.8953208300555492,0.6233821785167312,0.7065511808591666,0.6233821785167312
