framename,precision,recall,f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,accuracy
000,0.49683544303797467,0.49683544303797467,0.49683544303797467,0.4218009478672986,0.4633204633204633,0.32686225551394094,0.8666536684864119,0.49683544303797467,0.5342354888667646,0.49683544303797467
001,0.02097902097902098,0.02097902097902098,0.02097902097902098,0.3333333333333333,0.006993006993006993,0.0136986301369863,1.0,0.02097902097902098,0.0410958904109589,0.02097902097902098
002,0.2268041237113402,0.2268041237113402,0.2268041237113402,0.3333333333333333,0.07560137457044673,0.12324929971988796,1.0,0.2268041237113402,0.3697478991596639,0.2268041237113402
003,0.3987341772151899,0.3987341772151899,0.3987341772151899,0.3333333333333333,0.1329113924050633,0.19004524886877827,1.0,0.3987341772151899,0.5701357466063348,0.3987341772151899
004,0.5257352941176471,0.5257352941176471,0.5257352941176471,0.3333333333333333,0.1752450980392157,0.229718875502008,1.0,0.5257352941176471,0.689156626506024,0.5257352941176471
005,0.13291139240506328,0.13291139240506328,0.13291139240506328,0.3333333333333333,0.044303797468354424,0.0782122905027933,1.0,0.13291139240506328,0.2346368715083799,0.13291139240506328
006,0.5791139240506329,0.5791139240506329,0.5791139240506329,0.3333333333333333,0.1930379746835443,0.24448897795591182,1.0,0.5791139240506329,0.7334669338677354,0.5791139240506329
007,0.6234177215189873,0.6234177215189873,0.6234177215189873,0.3333333333333333,0.20780590717299577,0.25601039636127354,1.0,0.6234177215189873,0.7680311890838206,0.6234177215189873
008,0.06687898089171974,0.06687898089171974,0.06687898089171974,0.3333333333333333,0.022292993630573247,0.0417910447761194,1.0,0.06687898089171974,0.1253731343283582,0.06687898089171974
009,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.3333333333333333,0.06111111111111111,0.10328638497652581,1.0,0.18333333333333332,0.30985915492957744,0.18333333333333332
010,0.5569620253164557,0.5569620253164557,0.5569620253164557,0.3333333333333333,0.18565400843881855,0.23848238482384823,1.0,0.5569620253164557,0.7154471544715447,0.5569620253164557
011,0.7627737226277372,0.7627737226277372,0.7627737226277372,0.3333333333333333,0.2542579075425791,0.28847481021394067,1.0,0.7627737226277372,0.865424430641822,0.7627737226277372
012,0.49683544303797467,0.49683544303797467,0.49683544303797467,0.3333333333333333,0.16561181434599156,0.22128259337561662,1.0,0.49683544303797467,0.6638477801268499,0.49683544303797467
013,0.7848101265822784,0.7848101265822784,0.7848101265822784,0.3333333333333333,0.26160337552742613,0.2931442080378251,1.0,0.7848101265822784,0.8794326241134752,0.7848101265822784
014,0.3449367088607595,0.3449367088607595,0.3449367088607595,0.3333333333333333,0.1149789029535865,0.17098039215686275,1.0,0.3449367088607595,0.5129411764705882,0.3449367088607595
015,0.33544303797468356,0.33544303797468356,0.33544303797468356,0.3333333333333333,0.11181434599156119,0.1674565560821485,1.0,0.33544303797468356,0.5023696682464455,0.33544303797468356
016,0.17088607594936708,0.17088607594936708,0.17088607594936708,0.3333333333333333,0.056962025316455694,0.0972972972972973,1.0,0.17088607594936708,0.2918918918918919,0.17088607594936708
017,0.7151898734177216,0.7151898734177216,0.7151898734177216,0.3333333333333333,0.23839662447257384,0.2779827798277983,1.0,0.7151898734177216,0.833948339483395,0.7151898734177216
018,0.7816455696202531,0.7816455696202531,0.7816455696202531,0.4660935408299866,0.45182837088192,0.45816423109895393,0.7783608722866149,0.7816455696202531,0.7793571734630914,0.7816455696202531
019,0.36177474402730375,0.36177474402730375,0.36177474402730375,0.3333333333333333,0.12059158134243458,0.177109440267335,1.0,0.36177474402730375,0.531328320802005,0.36177474402730375
020,0.8575949367088608,0.8575949367088608,0.8575949367088608,0.6089238845144357,0.526984126984127,0.5467040576097494,0.8817153393800458,0.8575949367088608,0.8457432961878066,0.8575949367088608
021,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164
022,0.7373417721518988,0.7373417721518988,0.7373417721518988,0.3333333333333333,0.2457805907172996,0.2829386763812993,1.0,0.7373417721518988,0.848816029143898,0.7373417721518988
023,0.6835443037974683,0.6835443037974683,0.6835443037974683,0.4562872628726287,0.45855855855855854,0.4554441260744986,0.6957998867963363,0.6835443037974683,0.6867768669979326,0.6835443037974683
024,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5003252485828454,0.5696552814674257,0.5183369644153958,0.8931595576619273,0.8333333333333334,0.8509168482207697,0.8333333333333334
025,0.8675213675213675,0.8675213675213675,0.8675213675213675,0.6439393939393939,0.9402697495183044,0.7041327041327041,0.9152097902097902,0.8675213675213675,0.8761677428344095,0.8675213675213675
026,0.5854430379746836,0.5854430379746836,0.5854430379746836,0.3333333333333333,0.19514767932489452,0.24617431803060544,1.0,0.5854430379746836,0.7385229540918163,0.5854430379746836
027,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.3333333333333333,0.24894514767932488,0.28502415458937197,1.0,0.7468354430379747,0.8550724637681159,0.7468354430379747
028,0.8417721518987342,0.8417721518987342,0.8417721518987342,0.3333333333333333,0.2805907172995781,0.3046964490263459,1.0,0.8417721518987342,0.9140893470790377,0.8417721518987342
029,0.7025316455696202,0.7025316455696202,0.7025316455696202,0.4129901960784314,0.3787248787248787,0.3765182186234817,0.6631375651526433,0.7025316455696202,0.6626351662993901,0.7025316455696202
030,0.6329113924050633,0.6329113924050633,0.6329113924050633,0.5030416666666667,0.44519946187848336,0.4094442032132002,0.7656214398734177,0.6329113924050633,0.5996156636637957,0.6329113924050633
031,0.1962025316455696,0.1962025316455696,0.1962025316455696,0.38383838383838387,0.35432098765432096,0.12720826456384862,0.8760069044879172,0.1962025316455696,0.13869673411686054,0.1962025316455696
032,0.3858520900321543,0.3858520900321543,0.3858520900321543,0.2883276993438059,0.29027451688640055,0.25791416218496255,0.4590836172706341,0.3858520900321543,0.37500322967517097,0.3858520900321543
033,0.3343949044585987,0.3343949044585987,0.3343949044585987,0.3333333333333333,0.11146496815286623,0.16706443914081145,1.0,0.3343949044585987,0.5011933174224343,0.3343949044585987
034,0.37658227848101267,0.37658227848101267,0.37658227848101267,0.3333333333333333,0.12552742616033755,0.18237547892720307,1.0,0.37658227848101267,0.5471264367816092,0.37658227848101267
035,0.20253164556962025,0.20253164556962025,0.20253164556962025,0.3333333333333333,0.06751054852320675,0.11228070175438597,1.0,0.20253164556962025,0.3368421052631579,0.20253164556962025
036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
037,0.4525316455696203,0.4525316455696203,0.4525316455696203,0.3333333333333333,0.1508438818565401,0.2076978939724038,1.0,0.4525316455696203,0.6230936819172114,0.4525316455696203
038,0.33860759493670883,0.33860759493670883,0.33860759493670883,0.3333333333333333,0.11286919831223628,0.16863672182821118,1.0,0.33860759493670883,0.5059101654846335,0.33860759493670883
039,0.0031645569620253164,0.0031645569620253164,0.0031645569620253164,0.3333333333333333,0.0010548523206751054,0.002103049421661409,1.0,0.0031645569620253164,0.006309148264984227,0.0031645569620253164
040,0.10443037974683544,0.10443037974683544,0.10443037974683544,0.3333333333333333,0.03481012658227848,0.06303724928366762,1.0,0.10443037974683544,0.18911174785100288,0.10443037974683544
041,0.35135135135135137,0.35135135135135137,0.35135135135135137,0.3333333333333333,0.11711711711711713,0.17333333333333334,1.0,0.35135135135135137,0.52,0.35135135135135137
042,0.6107594936708861,0.6107594936708861,0.6107594936708861,0.30797984722899396,0.32643800094295145,0.28192703982177664,0.5092452585648248,0.6107594936708861,0.514960396772522,0.6107594936708861
043,0.35443037974683544,0.35443037974683544,0.35443037974683544,0.25468477882270985,0.1926640741274185,0.19765720683151877,0.5934037009113394,0.35443037974683544,0.4309628248195198,0.35443037974683544
044,0.8493589743589743,0.8493589743589743,0.8493589743589743,0.5880972496010514,0.561445580377803,0.5678077682685978,0.8702090057694113,0.8493589743589743,0.8498812055839705,0.8493589743589743
